symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl
Top2a	3543.10046611394	-1.09517269738705	0.12408302634553	1.41487406601018e-19	5.04090016076186e-17	ENSMUSG00000020914
Myl9	393.513777353126	-1.73500437234477	0.208304432208831	1.73790400825861e-19	6.05106577420953e-17	ENSMUSG00000067818
Mcm3	1294.26888444871	-1.09659247717927	0.125630019851089	3.33195004790809e-19	1.13434388297671e-16	ENSMUSG00000041859
Mid1ip1	6438.12915467636	0.695917759200776	0.0798052608077561	3.45581122501295e-19	1.15093539059127e-16	ENSMUSG00000008035
Prdx5	4897.98123134277	0.763328284574285	0.0873729315090692	4.41882751659602e-19	1.44034973519683e-16	ENSMUSG00000024953
Degs2	847.49710474732	1.26677168206093	0.148757436117278	9.40967703336636e-19	3.00325525314943e-16	ENSMUSG00000021263
Il1f6	384.428780031513	1.65077142583392	0.203535764797382	2.00950127959651e-18	6.28276726600379e-16	ENSMUSG00000026984
H1f5	1151.99517089805	-1.13194907499916	0.134041738144741	3.36641736562748e-18	1.03147028082826e-15	ENSMUSG00000058773
Sprr2d	569.41171023928	1.46376179510071	0.178246652495459	3.49589045991435e-18	1.05013807540957e-15	ENSMUSG00000042212
Zfand2a	2686.2977172664	0.92164823753714	0.108663569544445	4.67144611497858e-18	1.37627989387446e-15	ENSMUSG00000053581
Trp53i11	1829.56129001665	-1.1154844220134	0.132897822528564	5.57780258857028e-18	1.61230067277164e-15	ENSMUSG00000068735
Atg9b	5603.25469842194	1.17942898175544	0.142022531288631	8.86543057343374e-18	2.5151554886112e-15	ENSMUSG00000038295
Nfkbia	6681.39504468368	0.831682535580966	0.0991786358477733	1.06753204001265e-17	2.97356197327161e-15	ENSMUSG00000021025
P4ha1	1441.45662960521	-0.943105924578799	0.113113160238748	1.52704416645423e-17	4.17755654108549e-15	ENSMUSG00000019916
Nabp1	6294.65800342429	0.794827844126454	0.0960956232094351	2.58052203994073e-17	6.93571888629683e-15	ENSMUSG00000026107
Gm2a	2406.84383968983	0.841412865680222	0.101840037368114	3.02770390212766e-17	7.99731444493031e-15	ENSMUSG00000000594
Il1f5	6720.24479977554	0.670732550016934	0.0821956126802381	3.15696018546188e-17	8.19739492225018e-15	ENSMUSG00000026983
Lipg	2945.60968939833	0.962027156403931	0.117247271029876	4.43981628395725e-17	1.13363309117042e-14	ENSMUSG00000053846
Nupr1	1439.4329557025	0.875281844055071	0.106771051364654	5.22423562667916e-17	1.31205393115942e-14	ENSMUSG00000030717
Osbpl2	1548.58379911926	0.789398159052167	0.0971593289490393	8.44620510465399e-17	2.08703003553708e-14	ENSMUSG00000039050
Mki67	1030.71797860787	-1.27373955348871	0.16053505231631	1.12488737383084e-16	2.73544040747436e-14	ENSMUSG00000031004
Pdpn	777.506758302836	1.36169586220708	0.173771520551568	1.44881948090055e-16	3.46811163240569e-14	ENSMUSG00000028583
Cdca8	1524.97961801664	-1.23140645162827	0.155668857474161	1.71512769164596e-16	4.04242403631018e-14	ENSMUSG00000028873
Mcam	3516.51982543744	-0.850252827282168	0.106209028801229	2.47279518637444e-16	5.73988215988734e-14	ENSMUSG00000032135
Fam111a	526.711609199657	-1.20635298320195	0.153577729904512	3.03228676239572e-16	6.93352734326902e-14	ENSMUSG00000024691
Gm26397	3557.10549001294	1.24491209887809	0.159307623367863	3.41521709083022e-16	7.69428321051749e-14	ENSMUSG00000065637
Filip1l	614.965602360033	-1.15899226476391	0.147483987649162	3.70730401905195e-16	8.23128950317041e-14	ENSMUSG00000043336
Sprr2e	237.054886691512	1.69884231148182	0.234358898341019	1.10266951985151e-15	2.4132710063036e-13	ENSMUSG00000055030
Ctnnal1	637.28716364651	-1.2816370491526	0.168414737595142	1.36684673911812e-15	2.94930873849149e-13	ENSMUSG00000038816
Sbsn	18810.6016420533	0.655762738536651	0.0859928855286152	1.84385560259874e-15	3.92331497664065e-13	ENSMUSG00000046056
Gm23442	3747.30963480878	1.17417109944437	0.15427452652224	2.38280705981662e-15	4.93305461572846e-13	ENSMUSG00000064853
Kif2c	493.122561419794	-1.48504825681093	0.201712111831348	2.35774404430023e-15	4.93305461572846e-13	ENSMUSG00000028678
Irf6	15275.961062991	-0.633959828546029	0.084877782054451	4.81616253402819e-15	9.83781466950824e-13	ENSMUSG00000026638
Ppp1r13l	510.261221083241	-1.3257002783487	0.1790367045888	4.98544969216091e-15	1.00496170110401e-12	ENSMUSG00000040734
Ppfia1	3946.69009871375	0.676343903708989	0.0901226053559246	5.52810904971998e-15	1.09987832002221e-12	ENSMUSG00000037519
Cbx5	2312.01980799603	-0.805671711425554	0.10612129604459	5.79209785921597e-15	1.13762742568191e-12	ENSMUSG00000009575
Msrb3	1353.5515984545	-0.81912327344729	0.109826829404442	1.62893692137476e-14	3.15890046018498e-12	ENSMUSG00000051236
Nasp	3242.81441602708	-0.632607285205034	0.086715538115721	1.70584594032906e-14	3.26669497573015e-12	ENSMUSG00000028693
Igfbp3	2819.25540678805	0.72153667811934	0.0979139290185419	2.10849514812051e-14	3.98791921842052e-12	ENSMUSG00000020427
Ccnb2	435.882282639094	-1.1966577760585	0.164634589126206	2.78829364741222e-14	5.20934861931161e-12	ENSMUSG00000032218
Cenpv	693.508242179834	-0.959525117847031	0.130159715718667	3.04498429164427e-14	5.62038064433617e-12	ENSMUSG00000018509
Prc1	1354.30164049211	-1.29294966023129	0.18014174425176	3.21846927148486e-14	5.86987490942239e-12	ENSMUSG00000038943
Psca	402.57973019915	1.44454864782164	0.206581047412054	4.53255600172007e-14	8.16926564074724e-12	ENSMUSG00000022598
H2bc12	378.822107205293	-1.25602316523971	0.175959406318785	5.26790541584001e-14	9.27638451477818e-12	ENSMUSG00000062727
Myo1d	943.971994704775	0.842331621632389	0.115323558516615	5.26792071008944e-14	9.27638451477818e-12	ENSMUSG00000035441
Endou	15031.3451170882	0.618288548457546	0.0873445635767298	6.91091853427546e-14	1.20312809028523e-11	ENSMUSG00000022468
Cdc25c	346.054927308547	-1.40866231427152	0.202640096524758	7.73411809435013e-14	1.33131111466791e-11	ENSMUSG00000044201
Csrp1	16621.4096161933	-0.619376921001814	0.0883151067936043	1.10683702015431e-13	1.86337836799604e-11	ENSMUSG00000026421
Tacc3	1152.9194375101	-0.918324241676073	0.127470343359917	1.09713276488775e-13	1.86337836799604e-11	ENSMUSG00000037313
Ect2	745.384909557732	-1.15045317435906	0.16283174711034	1.50569087971434e-13	2.50730263882866e-11	ENSMUSG00000027699
Mxd1	1833.87046774802	1.08637299612423	0.153241794498223	1.65244480384355e-13	2.72209187041755e-11	ENSMUSG00000001156
Cenpe	591.463637475718	-1.19025085164257	0.169811037530681	1.85886969841116e-13	3.02956210421904e-11	ENSMUSG00000045328
Snord118	889.347418137805	1.25522603628496	0.180650043328186	2.03375300099011e-13	3.27969431317563e-11	ENSMUSG00000064899
Gm25117	1196.09841250445	1.14012502379098	0.162660282474575	2.34466350640056e-13	3.71802807534877e-11	ENSMUSG00000087819
Nuak1	1312.81514646407	-1.14598202675199	0.163594291750448	2.3541039380472e-13	3.71802807534877e-11	ENSMUSG00000020032
Gm23734	460.017332026404	1.19340795692645	0.171790648047232	2.83777607578256e-13	4.43619688581518e-11	ENSMUSG00000065687
Gm24265	1045.94378039788	1.12670911765526	0.162422195306431	4.12599613564095e-13	6.38487482808277e-11	ENSMUSG00000096243
Tfcp2l1	423.930451926031	1.21573340271694	0.176869919760425	4.22336284216398e-13	6.47019187419521e-11	ENSMUSG00000026380
Gabarap	5500.47779923056	0.556997965331877	0.0829433674051154	4.36895965866759e-13	6.62697643275124e-11	ENSMUSG00000018567
Hjurp	1128.82825924541	-0.818998954703533	0.117184394298455	4.75441473905319e-13	7.14094449042107e-11	ENSMUSG00000044783
Rpa2	611.319973890259	-1.03204776477203	0.148613400605393	5.50920498532685e-13	8.19427382283566e-11	ENSMUSG00000028884
Artn	1043.51327043036	1.02851623565273	0.148287917125948	5.90929131010005e-13	8.70484066064739e-11	ENSMUSG00000028539
Gpr161	4024.39127121541	-0.587902065202191	0.0877575583692247	6.77604894821934e-13	9.88657808444954e-11	ENSMUSG00000040836
Ctsd	47148.3981015584	0.632140043421066	0.093442324925573	6.90842482623044e-13	9.98462908847645e-11	ENSMUSG00000007891
Zyx	1221.08981684981	-0.771471654292328	0.111665011667719	7.10443400129773e-13	1.01719559719515e-10	ENSMUSG00000029860
Arg1	1532.73435354278	1.14008970472632	0.166773781898118	7.83343232346461e-13	1.11118688143961e-10	ENSMUSG00000019987
Cnn2	2829.63632969068	-0.792583954353949	0.114909561408733	8.30142041621561e-13	1.16676844749012e-10	ENSMUSG00000004665
Cenpq	612.335363011064	-1.19689360992667	0.177754331954401	1.21277619164444e-12	1.68906647781753e-10	ENSMUSG00000023919
Emp2	10028.164553085	0.564154833161309	0.0858628833404995	1.24110588326548e-12	1.71294974158803e-10	ENSMUSG00000022505
Fads2	1854.26927902062	0.672098756580262	0.100307234772758	1.53722014290366e-12	2.10269755261465e-10	ENSMUSG00000024665
Suv39h1	570.666532692807	-1.0240306526861	0.150745993749085	1.60064645651187e-12	2.17007997466918e-10	ENSMUSG00000039231
Cdca2	287.887501469515	-1.37264632291098	0.210779232604485	1.91929082125416e-12	2.57925748961524e-10	ENSMUSG00000048922
Ephb4	1294.64829365283	-0.71201334000802	0.106231925717668	2.05569966747571e-12	2.73854947006329e-10	ENSMUSG00000029710
Nck2	1297.69320686284	0.742772254608941	0.110485957751257	2.16660219752524e-12	2.8614091091454e-10	ENSMUSG00000066877
F2rl1	721.647899122015	-1.19783602247895	0.180879090624178	2.54559469414462e-12	3.33320604395689e-10	ENSMUSG00000021678
Bex1	393.19356487542	-1.16903286033889	0.176320540144118	2.77397412308207e-12	3.60146470895062e-10	ENSMUSG00000050071
Tent5a	544.134704727557	-1.12708100665799	0.16991550762235	3.27119179875374e-12	4.21131582831154e-10	ENSMUSG00000032265
Cdkn1a	2365.74351198206	0.617814129422225	0.0951323233089494	3.55883889423223e-12	4.54345098830314e-10	ENSMUSG00000023067
Aif1l	2078.19911382212	1.037273884455	0.155873803740965	3.91703706070444e-12	4.95942212975141e-10	ENSMUSG00000001864
Knstrn	651.407839864997	-1.05303282364357	0.158545690557919	4.06189876055073e-12	5.10067942718337e-10	ENSMUSG00000027331
Chtf18	516.483383909863	-1.06099572638534	0.160828186776681	5.32571121137055e-12	6.57700307240445e-10	ENSMUSG00000019214
Rbms1	4047.12344847081	0.562277238558269	0.0886494409654106	5.34571449615731e-12	6.57700307240445e-10	ENSMUSG00000026970
Rsu1	976.111602989539	-0.791255438116099	0.119575705374432	5.36635368179214e-12	6.57700307240445e-10	ENSMUSG00000026727
Lima1	5728.82196916169	-0.554118718328033	0.0875773554293746	5.44675814122728e-12	6.62256624790491e-10	ENSMUSG00000023022
Csta1	2331.73735642576	1.11501465687637	0.170889704053771	7.03089475718549e-12	8.48136280945525e-10	ENSMUSG00000034362
Pole2	262.309558480655	-1.26999491674685	0.199140456275321	8.58686302510407e-12	1.02774016831714e-09	ENSMUSG00000020974
Klk10	9327.35956802177	0.694485379193437	0.10761737924977	9.11193507283347e-12	1.08213058384348e-09	ENSMUSG00000030693
Cavin3	934.315583125535	-1.06216284987414	0.164471328516764	1.31590759705258e-11	1.5507464912958e-09	ENSMUSG00000037060
Mpdz	840.993633877771	-0.898687939851398	0.138962473686187	1.67429204743293e-11	1.95802703562386e-09	ENSMUSG00000028402
Tnfrsf26	145.158735946841	1.62290384297721	0.277781519225655	2.01827361001716e-11	2.34242058374719e-09	ENSMUSG00000045362
Gmnn	511.835795766811	-1.06057058768146	0.166354449203884	2.24767189879126e-11	2.58904763078813e-09	ENSMUSG00000006715
Tmem98	434.530877902006	1.06118955268656	0.166784826634536	2.43250588815405e-11	2.78104404526269e-09	ENSMUSG00000035413
Atp6v1a	10924.1661875993	0.580254439225378	0.0951942889361779	2.98989377761985e-11	3.39297575356564e-09	ENSMUSG00000052459
Ncapg	536.612084617896	-1.03606336767849	0.164481254870992	3.92396562019982e-11	4.42023186040156e-09	ENSMUSG00000015880
Acly	17940.8362568689	0.574670319208836	0.0952312913133322	4.10609133146322e-11	4.59162913854135e-09	ENSMUSG00000020917
Cpne2	1485.83225245322	0.840440980138674	0.133470868879581	4.65728071722537e-11	5.17025656434005e-09	ENSMUSG00000034361
Slc9a3r1	1459.22011717669	0.782697476249535	0.124988998366173	4.91196198604069e-11	5.41375954144916e-09	ENSMUSG00000020733
Mastl	501.130498154183	-0.937150734265403	0.149150272606227	5.23817061887343e-11	5.73205527722436e-09	ENSMUSG00000026779
Acss2	958.072128760574	0.945324599662588	0.15054355748837	5.32125510311835e-11	5.78167575743071e-09	ENSMUSG00000027605
Bcl2l15	145.905567052519	1.5571193866187	0.271068534251782	5.78900770002697e-11	6.24560549045164e-09	ENSMUSG00000044165
Sostdc1	548.222527348648	-1.10172927143898	0.177783706793385	5.95878233593813e-11	6.38381436269735e-09	ENSMUSG00000036169
Cdca7l	490.56220390228	-1.03292541797664	0.166024449367965	6.41337641011109e-11	6.82311990297929e-09	ENSMUSG00000021175
Flg2	200.106522672235	-1.74657225637542	0.321213878675773	7.91536756858212e-11	8.36299525177091e-09	ENSMUSG00000049133
Gm26165	4747.7901665458	0.967111521045219	0.15681832143698	1.03241973384533e-10	1.0833335837336e-08	ENSMUSG00000065725
H1f1	918.519423495601	-1.04440588372079	0.170516057333976	1.12259699962522e-10	1.16379660970339e-08	ENSMUSG00000049539
Ier5	5145.24504316283	0.565845805954266	0.0966898803391986	1.12429437490928e-10	1.16379660970339e-08	ENSMUSG00000056708
Ndc80	364.093759906194	-1.11512302355576	0.183710751555594	1.23035881602512e-10	1.26504007124193e-08	ENSMUSG00000024056
Fdps	4816.77718973041	0.488517302777087	0.0852705928144158	1.33104371803391e-10	1.35943931735197e-08	ENSMUSG00000059743
Grn	4417.42940910738	0.752674066843162	0.124012885060767	1.37226679071189e-10	1.3922600817024e-08	ENSMUSG00000034708
Tpm4	17954.7376489887	-0.599197159464001	0.102180075627438	1.42630689085631e-10	1.4375672084157e-08	ENSMUSG00000031799
Sat1	9378.61363548088	0.718085908323762	0.119238877583654	1.48929717832022e-10	1.49124397201737e-08	ENSMUSG00000025283
Topbp1	2179.7096462083	-0.59876121869985	0.102274937649647	1.50330405739172e-10	1.49549468566501e-08	ENSMUSG00000032555
Snord15a	11163.2182752395	0.95308370725353	0.156173012847139	1.55327055246585e-10	1.53523257185657e-08	ENSMUSG00000065822
Snora23	3163.92176705576	0.979551451748586	0.161081770657082	1.70234896636255e-10	1.67179398491502e-08	ENSMUSG00000064451
Krt23	471.352768707375	1.20784787077889	0.203748381264331	1.89742363910878e-10	1.85149873574181e-08	ENSMUSG00000006777
Atad2	1390.42553173417	-0.851309117561292	0.140336756199081	1.91444118513222e-10	1.85628094659656e-08	ENSMUSG00000022360
Nedd9	1705.02961816945	-0.639117923533275	0.109013128870161	2.06346791053245e-10	1.98819675404762e-08	ENSMUSG00000021365
Mdm2	4291.63031885448	0.759200170803908	0.126548843739908	2.13673666098258e-10	2.02415153062737e-08	ENSMUSG00000020184
S100a9	5477.63154734232	1.59829114409411	0.293049885807731	2.14042133134226e-10	2.02415153062737e-08	ENSMUSG00000056071
Uchl3	1166.24586365149	0.69104784157511	0.116534275986882	2.12221827352324e-10	2.02415153062737e-08	ENSMUSG00000022111
Zfand5	4007.60953079699	0.511497744727257	0.090421841435233	2.30174684239299e-10	2.16335960892396e-08	ENSMUSG00000024750
Bub1	418.661679033964	-1.16652890302206	0.197002412146026	2.40329148588103e-10	2.24502594900594e-08	ENSMUSG00000027379
Kif20a	1141.39654417566	-1.11349529890214	0.187276899121558	2.60045131381224e-10	2.41447964409718e-08	ENSMUSG00000003779
Tmpo	7414.47611427573	-0.54746335397344	0.0967872060009635	2.99918938592188e-10	2.76792658989899e-08	ENSMUSG00000019961
Chac1	919.366565060969	0.879993028885694	0.146988364352082	3.15143876527327e-10	2.891020472095e-08	ENSMUSG00000027313
Fzd7	607.475172592458	-0.826808251264607	0.138517092110404	3.22863101970448e-10	2.94420400130195e-08	ENSMUSG00000041075
Gm14236	1446.14928658652	0.62704376929274	0.108795512663699	3.27895353897273e-10	2.96080092219545e-08	ENSMUSG00000086411
Vwa1	454.280407539453	-1.26147439779697	0.218048918145385	3.28548405204455e-10	2.96080092219545e-08	ENSMUSG00000042116
Kif22	269.875043191265	-1.35063436084301	0.237419475441271	3.34574015841654e-10	2.99747013023049e-08	ENSMUSG00000030677
Scarna13	523.050530939542	0.931583168722735	0.157533450956766	4.8329281064401e-10	4.3046778250385e-08	ENSMUSG00000088789
Ddit4	3743.23398606161	0.795351027391987	0.135619191087462	5.36962577477748e-10	4.7550674491093e-08	ENSMUSG00000020108
Msh2	805.316176331141	-0.727215044460318	0.125421525142351	5.69805164987844e-10	5.01690524575504e-08	ENSMUSG00000024151
Dedd2	1435.51630965104	0.584975413344547	0.104890370604007	6.46834578922290e-10	5.66257471376541e-08	ENSMUSG00000054499
Acsl3	7981.8905784166	0.772005841811462	0.132886800266098	6.70143681692996e-10	5.83329613837313e-08	ENSMUSG00000032883
Ncapg2	821.629494314526	-1.05313023458858	0.181251206936913	7.0089781521651e-10	6.06652798255194e-08	ENSMUSG00000042029
Abhd17c	1456.55653843621	0.576108995459643	0.104155839173917	7.73534663475281e-10	6.62041957790017e-08	ENSMUSG00000038459
Bcam	918.497697879361	-0.856638924457335	0.147031135743538	7.73028023691735e-10	6.62041957790017e-08	ENSMUSG00000002980
Cdc45	452.577893622452	-1.08785747402294	0.188768625005222	8.22583109737751e-10	6.97780012426274e-08	ENSMUSG00000000028
Erg28	5622.28912112274	0.622082654813274	0.111257650351473	8.24400667422687e-10	6.97780012426274e-08	ENSMUSG00000021252
Btg1	2514.80313453286	0.505547021332336	0.0932880975569581	8.66023863756072e-10	7.24999212718198e-08	ENSMUSG00000036478
Inhba	2928.81469760675	-0.516519129374627	0.0951038705358299	8.62189616973994e-10	7.24999212718198e-08	ENSMUSG00000041324
Lurap1l	757.067428774935	-0.830120301648083	0.143345353591137	8.96851860224393e-10	7.4269029722366e-08	ENSMUSG00000048706
Timeless	436.006567556754	-0.949360194012031	0.163581903959322	8.94451879398985e-10	7.4269029722366e-08	ENSMUSG00000039994
Mcm4	1373.95325766313	-0.581124675762945	0.106095026125531	1.08683823431283e-09	8.95180739229707e-08	ENSMUSG00000022673
Aurka	534.067842895361	-1.27654580213438	0.22981199320287	1.10044523445391e-09	9.01541229509831e-08	ENSMUSG00000027496
Kif4	707.618559223319	-1.19398742717183	0.212156791289534	1.13297579229751e-09	9.23254741382864e-08	ENSMUSG00000034311
Ccl2	525.188942597937	1.05580195922279	0.184539084165747	1.15190472180117e-09	9.33713245396501e-08	ENSMUSG00000035385
Snora21	1158.93325537331	0.976413637152306	0.170031804893248	1.22043710131577e-09	9.840577048504e-08	ENSMUSG00000064901
Ddit3	1692.20671733427	0.820784139628356	0.143397207032567	1.27349583002175e-09	1.02146367099126e-07	ENSMUSG00000025408
Far1	2853.9276177528	-0.49806214159295	0.0932809456365091	1.3041544553855e-09	1.04060657585968e-07	ENSMUSG00000030759
Rapgef3	735.061149405131	1.08738341092644	0.191902888843224	1.4177307147337e-09	1.12536966578861e-07	ENSMUSG00000022469
Hells	698.666749853583	-0.981958861732265	0.171930831362449	1.44019526555878e-09	1.13730883857529e-07	ENSMUSG00000025001
Fdft1	8391.21459820952	0.575468940245689	0.10638603747266	1.50511968525703e-09	1.18248377323783e-07	ENSMUSG00000021273
Malat1	359816.064249653	0.746534780891021	0.132653818765896	1.62122164683987e-09	1.26719977701974e-07	ENSMUSG00000092341
Atxn1	1566.97573329561	-0.675031008478685	0.121785930352039	1.64094745068977e-09	1.27610735759225e-07	ENSMUSG00000046876
Ypel3	1058.82421043852	0.747401496261997	0.133171108901872	1.76925265871085e-09	1.3689369056288e-07	ENSMUSG00000042675
Vaultrc5	410.121412960067	1.22344612346339	0.221758682348883	1.79882222138824e-09	1.38482193123959e-07	ENSMUSG00000065145
Leprotl1	2146.48927843866	0.542442966145798	0.101855658037706	1.8361334491264e-09	1.40647822203082e-07	ENSMUSG00000031513
Mpzl3	5233.37779398154	0.504291585815017	0.0955829236616238	1.90584766301722e-09	1.45261622872755e-07	ENSMUSG00000070305
Aspm	414.399477342616	-1.28425663114299	0.236084599691756	1.96015813841702e-09	1.48661498418558e-07	ENSMUSG00000033952
Lbh	513.242305546454	-0.87930408036085	0.15562616462469	2.10683712620031e-09	1.58998742726053e-07	ENSMUSG00000024063
H2bc3	1233.57261713967	-0.809351170639791	0.143944132393584	2.14247616315221e-09	1.60610316332728e-07	ENSMUSG00000075031
Junb	9333.54515055237	0.476367680953113	0.0909842910916182	2.14915893265074e-09	1.60610316332728e-07	ENSMUSG00000052837
Tnfrsf23	987.09843057691	0.75554548541561	0.135678622471852	2.32815077637466e-09	1.73142086864368e-07	ENSMUSG00000037613
Snord82	1145.35972123771	0.845828253895558	0.15054574704359	2.39178423301239e-09	1.77015142269323e-07	ENSMUSG00000064823
Apcdd1	997.53293914442	-0.862558561593851	0.154244548954104	2.82906317677489e-09	2.08371383981689e-07	ENSMUSG00000071847
Dnase1l3	364.319838273187	1.01442593146285	0.18217855480906	2.9722350034924e-09	2.17869092122026e-07	ENSMUSG00000025279
Fen1	1486.06958001805	-0.655257067754683	0.121478314872539	3.12511107924928e-09	2.279842939719e-07	ENSMUSG00000024742
Gba	2635.16409200241	0.571330007856327	0.108637053747632	3.26434470903958e-09	2.3701308503548e-07	ENSMUSG00000028048
H4c12	298.1539141612	-1.05919060141956	0.191634851456608	3.31608663853911e-09	2.3963418538877e-07	ENSMUSG00000064288
Ndrg1	16710.0573626668	0.759002722051942	0.138322590117435	3.64239249631498e-09	2.61720533781621e-07	ENSMUSG00000005125
Prss8	1256.42591081687	0.746609789170411	0.136362694186882	3.65588735177982e-09	2.61720533781621e-07	ENSMUSG00000030800
Fitm2	2761.42466933171	0.48496446012842	0.0943247784105252	3.67438215525104e-09	2.61821091248586e-07	ENSMUSG00000048486
Cstb	5936.79003241838	0.569225466146986	0.108849959192069	3.7572182616e-09	2.66484184109777e-07	ENSMUSG00000005054
Wipi1	1281.9872628591	0.699660251079485	0.129664299295724	4.22695210443647e-09	2.98418922764823e-07	ENSMUSG00000041895
